business_id,name,city,state,latitude,longitude,stars,review_count,romance_score,final_score,schedule
L4oX_9EeleMueo9jZE5R8w,Stone Cellar Fondue & Wine,St Charles,MO,38.777271,-90.483086,4.0,18,9,1.0526315789473684,
aF6mtk7uOL3xiaVxkQeghw,Terrace Street Bistro,Philadelphia,PA,40.0239286,-75.2151081,4.5,6,2,0.6428571428571429,
sOR1mRK4DYYu_IwxN0DI_g,Grub Med Greek Ristorante,Edmonton,AB,53.4721632,-113.539897,3.0,13,3,0.42857142857142855,
RfiLVnVNamfRZMIffZ4-ig,Parkers' Prime,Newtown Square,PA,39.9758171,-75.4383888,3.5,16,3,0.4117647058823529,
tmroquufdrXXwFx1qiXNuA,Cafe Liz,Philadelphia,PA,40.0342467,-75.1298054,4.5,25,2,0.34615384615384615,
MOzcNxZ-myfX-6H3vAOGVA,All Aboard Seafood,Philadelphia,PA,39.9702815,-75.1806097,4.0,23,2,0.3333333333333333,
lSfC1z4mUX_gyDujuB-3og,Dream Cuisine Cafe,Cherry Hill,NJ,39.899786,-74.953258,4.0,27,4,0.2857142857142857,
aFhPwy7OhyKah4cJY2QdEQ,Stonehouse Restaurant,Santa Barbara,CA,34.446845,-119.623092,4.5,339,29,0.27794117647058825,
OWsEEVCKBBSfVbzY3lXd1Q,Cote Sud,New Orleans,LA,29.9433389,-90.1316021,4.0,57,10,0.27586206896551724,Monday: 05:30 PM-10:00 PM; Tuesday: 05:30 PM-10:00 PM; Wednesday: 05:30 PM-10:00 PM; Thursday: 05:30 PM-10:00 PM; Friday: 05:30 PM-11:00 PM; Saturday: 05:30 PM-11:00 PM; Sunday: 06:00 PM-10:00 PM
2UtP4mly2LFZpXtqiwb24g,The Weingarten,Belleville,IL,38.4717984,-89.9238918,4.0,30,4,0.25806451612903225,
bwC8mORAudXHQmbQSbrO6A,Mediterra,Indianapolis,IN,39.8705191083,-86.1442065239,3.0,23,2,0.25,
L4kfcADLCU4T33i7Z0CkuA,Bistro Romano,Philadelphia,PA,39.9419372505,-75.1446834884,4.0,546,63,0.24862888482632542,
P09fwcXyvf2GdvFnTMQWuA,Bellocq,New Orleans,LA,29.943719,-90.071886,4.0,113,14,0.24561403508771928,
ejiH2c0aRh1l0meK3fdf2w,La Cote Basque French Restaurant,Gulfport,FL,27.7385572,-82.7075954,3.5,77,12,0.22435897435897437,
59JpYjwb0GcL_iOG3eqD9A,Catherine's Restaurant,Unionville,PA,39.8955475,-75.7344006,3.5,64,7,0.2153846153846154,
u4WC_qHGn03jwNdVmW5vaQ,Baileys' Chocolate Bar,Saint Louis,MO,38.6174438,-90.212809,4.0,580,75,0.20654044750430292,
Euzc6V2xKJyEgYVZK-CyEQ,Gulf Bistro,Madeira Beach,FL,27.8030547,-82.8032363,4.5,109,9,0.20454545454545456,
uKXw5zfNtNw_eJW2arHLFw,N 7,New Orleans,LA,29.9685787,-90.0456731,4.0,206,19,0.1932367149758454,
3tQX2LLZReJSJSZ4mc1GZA,The Stone Grille,Clementon,NJ,39.803384,-75.030148,2.5,12,1,0.19230769230769232,
V_S54QGnokLMshOm8xNTag,Audubon Clubhouse Cafe,New Orleans,LA,29.927736,-90.127601,4.0,43,4,0.18181818181818182,
pvE9rPVhOG8fODMrM65KFA,Rumours Wine Bar,Nashville,TN,36.151191,-86.783392,4.0,43,4,0.18181818181818182,
sYlYeHpykKr-sdE7Unuidg,Hoof + Fin,Philadelphia,PA,39.9409344,-75.1476183,4.0,68,7,0.17391304347826086,
lNlbPEQOZaBWtv_ynQGYNg,Ceviche Tapas Bar & Restaurant,Clearwater,FL,27.961052,-82.716001,4.0,46,3,0.1702127659574468,
fyUL2WK1UiPKXDKmutapjQ,Pupuseria Divino Corazon Restaurant,Gretna,LA,29.9026802,-90.0499879,3.5,21,1,0.1590909090909091,
SIj4scSfPIR59US0hxD7nw,Pronto Bistro,Thorndale,PA,39.9955362399,-75.7604417174,3.5,45,3,0.15217391304347827,
18790ccUVHejWqCmkoSJjA,Casta Diva,Philadelphia,PA,39.9496781,-75.1738043,4.5,148,15,0.15100671140939598,
8V9G6dC9sLCGp1LQVrmXwA,Aya Sofia,Saint Louis,MO,38.5903953,-90.3068663,4.0,301,33,0.1456953642384106,
UvDud4vaI7l_JlBV3E1mHg,Bazil's,Tucson,AZ,32.308912,-110.890775,3.5,120,11,0.1446280991735537,
fGC3F9m39I7TEvgrb3KQQw,Cafe Nola,Philadelphia,PA,39.9427445,-75.1454802,3.0,44,5,0.13333333333333333,
yE7cm9Cyo7YZKrzcP-9wTg,The Boat House,Lambertville,NJ,40.3676144,-74.9462906,3.5,79,8,0.13125,
